Cluster,Sample 1 Day 1,Sample 2 Day 1,Sample 3 Day 1,Sample 4 Day 1,Sample 5 Day 1,Sample 6 Day 1,Sample 7 Day 1,Sample 8 Day 1,Sample 9 Day 1,Sample 10 Day 1,Sample 11 Day 1,Sample 12 Day 1,Sample 13 Day 1,Sample 14 Day 1,Sample 15 Day 1,Sample 16 Day 1,Sample 17 Day 1,Sample 18 Day 1,Sample 19 Day 1,Sample 20 Day 1,Sample 21 Day 1,Sample 22 Day 1,Sample 23 Day 1,Sample 24 Day 1,Sample 25 Day 1,Sample 26 Day 1,Sample 27 Day 1,Sample 28 Day 1,Sample 29 Day 1,Sample 30 Day 1,Sample 31 Day 1,Sample 32 Day 1,Sample 33 Day 1,Sample 34 Day 1,Sample 35 Day 1,Sample 36 Day 1,Sample 37 Day 1,Sample 38 Day 1,Sample 39 Day 1,Sample 40 Day 1,Sample 41 Day 1,Sample 42 Day 1,Sample 43 Day 1,Sample 44 Day 1,Sample 45 Day 1,Sample 46 Day 1,Sample 54 Day 1,Sample 55 Day 1,Sample 56 Day 1,Sample 57 Day 1,Sample 66 Day 1,Sample 67 Day 1,Sample 68 Day 1,Sample 69 Day 1,Sample 70 Day 1,Sample 1 Day 2,Sample 2 Day 2,Sample 3 Day 2,Sample 4 Day 2,Sample 5 Day 2,Sample 6 Day 2,Sample 7 Day 2,Sample 8 Day 2,Sample 9 Day 2,Sample 10 Day 2,Sample 11 Day 2,Sample 12 Day 2,Sample 13 Day 2,Sample 14 Day 2,Sample 15 Day 2,Sample 16 Day 2,Sample 17 Day 2,Sample 18 Day 2,Sample 19 Day 2,Sample 20 Day 2,Sample 21 Day 2,Sample 22 Day 2,Sample 23 Day 2,Sample 24 Day 2,Sample 25 Day 2,Sample 26 Day 2,Sample 27 Day 2,Sample 28 Day 2,Sample 30 Day 2,Sample 31 Day 2,Sample 32 Day 2,Sample 33 Day 2,Sample 34 Day 2,Sample 35 Day 2,Sample 36 Day 2,Sample 37 Day 2,Sample 38 Day 2,Sample 39 Day 2,Sample 40 Day 2,Sample 41 Day 2,Sample 42 Day 2,Sample 43 Day 2,Sample 44 Day 2,Sample 45 Day 2,Sample 46 Day 2,Sample 54 Day 2,Sample 55 Day 2,Sample 56 Day 2,Sample 57 Day 2,Sample 66 Day 2,Sample 67 Day 2,Sample 68 Day 2,Sample 69 Day 2,Sample 70 Day 2,Sample 54 Day 3,Sample 55 Day 3,Sample 56 Day 3,Sample 57 Day 3
RYR1_0,0.0,0.0,0.0,0.0,0.0,3.402755676710242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.39781845471247,18.55019604580547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.038265038875977,0.0,0.0
CO3_26,0.0,7.793860077656089,19.747569517075064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.610873125999028,16.659852573914794,27.101167415364895,18.78529118758169,9.811644133555983,0.0,0.0,0.0,8.93478798331385,0.0,7.994128574577572,0.0,0.0,2.565296834559768,0.0,0.0,0.0,19.663798809875484,20.210156832897844,0.0,13.128759293421238,18.26894224176855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.895474766448316,0.0,0.0,0.0,20.933136698691413,8.627919497477865,15.863365129444789,0.0,11.157892766629706,8.768808439440786,10.31857576556368,10.338961342717065,8.966366351414598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.972414637703022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.340433976673292
CO3_25,0.0,7.659499240138737,28.547193573208258,19.67565380067008,34.643107399212376,22.489170956224044,11.936506476064354,12.593544413208296,11.230240989991673,0.0,0.0,0.0,0.0,32.828270417755846,33.14610580266327,23.152070899155625,12.69277242881954,0.0,11.607065010717069,10.89188472086,18.950491009226244,12.009422622909664,12.36053243631564,32.18825221733108,25.328299151828883,23.260030192905575,21.98531800481041,11.832158607818688,32.293341273122735,27.540178167894062,8.729240683410344,30.730355622367785,12.633739995407698,0.0,10.081978828614725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.74800539592444,17.583315573721574,16.630236952499658,14.383922260378865,21.998228837197246,13.9168695689125,19.629424048459303,0.0,17.935156185710444,9.815193413760182,0.0,0.0,0.0,0.0,10.702224177129036,0.0,11.01221828399066,0.0,18.182283229390883,0.0,0.0,0.0,8.525639504536905,0.0,9.02678892245698,10.54790049932354,31.130674912722238,13.03600432491359,0.0,11.637975724996728,0.0,0.0,0.0,0.0,0.0,0.0,11.487423516582153,20.204250195360046,11.349410352136424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.13976858273242,21.15208043076016,29.576350810518008,18.394425201632334,0.0,0.0,0.0,0.0,0.0,12.801298432276846,12.301049586878117,10.398427705995292,10.975572966207727
CO3_24,0.0,3.557597084185618,19.75675667392926,32.77572459771125,44.966090390275845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.85572031275808,0.0,31.641447663335583,0.0,0.0,30.31615594637711,34.1429447745165,0.0,26.734732592805926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.390017880511444,38.0170448235119,21.935641553599492,24.425780337573055,0.0,0.0,0.0,0.0,3.670349528881375,27.94399128730931,0.0,0.0,0.0,0.0,0.0,21.309859707735356,0.0,0.0,0.0,9.506844007958527,0.0,0.0,12.620131865037486,0.0,0.0,8.24931406001327,15.834706431040832,0.0,0.0,0.0,0.0,0.0,12.598696460996337,0.0,17.16989263920463,10.84389401498188,9.840830629734713,16.511527121314316,0.0,0.0,0.0,23.79895649974198,0.0,3.9211658905539153,9.551356239989495,0.0,0.0,4.47042267757449,0.0,0.0,0.0,0.0,0.0,42.860837826697725,38.56691785370869,38.10564597837094,41.66688606685442,42.34791316071168,0.0,7.218606227537439,22.375668260211295,7.577448909086763,37.200535038567025,0.0,30.684719425271624,43.29164994836105,39.80847914963154
CO3_23,0.0,0.0,0.0,0.0,21.402038462765937,0.0,9.528561943420748,0.0,0.0,0.0,0.0,0.0,0.0,18.7381762703816,17.278646750468873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.358603957806965,0.0,11.623012921574343,33.234799706283226,10.638632925064549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.375070847207645,21.30375844065736,11.110421519831869,20.53704116492068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.816134660959166,11.169214732736666,17.83844435038147,0.0,0.0,0.0,0.0,0.0,0.0,18.610551593832177,0.0,0.0
CO3_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.859802704099046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3066382511576564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO3_21,0.0,7.90072060358747,0.0,0.0,8.005059252917583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.90721264230508,3.2048611003799805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2272383183741824,0.0,0.0,8.126418300508893,13.350136687452931,29.1442650686152,12.662623929517945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.230228345958494,9.220183345092714,0.0,0.0,0.0,0.0,0.0,0.0,8.448663254147327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.366806658569026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.844722696838309,10.821721124091832,11.540440482142252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.163126030653336,9.845349528329724,16.46362192386461,6.256656989420275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4581088442956527
MYH1_1,0.0,6.344632460372691,7.280348338666134,16.405840342521763,0.0,0.0,0.0,2.5834359597340075,0.0,0.0,0.0,0.0,0.0,8.18968940151197,0.0,8.769368668892898,0.0,0.0,0.0,6.391816264013015,7.089507342953736,8.42600337297587,2.5199590532339564,0.0,0.0,0.0,0.0,0.0,8.115369117151117,8.946428249947807,0.0,0.0,0.0,15.255140580218635,22.057460938064366,7.259234462873648,24.59400692197046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYH4_1,0.0,6.344632460372691,7.280348338666134,16.405840342521763,19.019489211540353,0.0,0.0,2.5834359597340075,0.0,0.0,0.0,0.0,0.0,8.18968940151197,0.0,8.769368668892898,0.0,0.0,0.0,6.391816264013015,7.089507342953736,8.42600337297587,2.5199590532339564,0.0,0.0,0.0,0.0,0.0,8.115369117151117,8.946428249947807,0.0,0.0,0.0,0.0,15.06582572158738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO3_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.513905970709718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.94500175705552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
